,name,year,artist,lyric,,
0,A bailar,1943,Homero Expósito,"¡A bailar, a bailar que la orquesta se va!  Sobre el fino garabato de un tango nervioso y lerdo se irá borrando el recuerdo...  ¡A bailar, a bailar que la orquesta se va!  El último tango perfuma la noche, un tango dulce que dice adiós. La frase callada se asoma a los labios ¡y canta el tango la despedida! ¡Vamos! ¡A bailar! Tal vez no vuelvas a verla nunca, y el último tango perfuma la noche y este es el tango que dice el adiós.  ¡A bailar, a bailar que la orquesta se va!  Quedará el salón vacío con un montón de esperanzas que irán camino al olvido.  ¡A bailar, a bailar que la orquesta se va!",,
1,A bailar el tango,1962,Leopoldo Díaz Vélez,"Este tango nació para bailarse y así hamacarse muy suavemente oigan ustedes este compás…  Es muy sencillo bailar el tango, un doble paso, después descanso. La media vuelta, la vuelta entera y siempre junto a la compañera. Este tango nació para bailarse, no hay que quedarse mirándolo.",,
2,A cara limpia,,Nolo López,"No te demores que se hace tarde ponete pronto ese disfraz. Quiero que vengas conmigo al corso, pero no lleves el antifaz. Quiero que vengas a cara limpia no tengas miedo si él ya no está. Vestite pronto, ponete linda, reite mucho, que es Carnaval.  Vamos al corso para que veas todas las caras qué alegres están, pero la tuya aunque se ría, lleva marcada la falsedad.  Mostrá tu risa frente a la vida, serví de algo, disimulá, mirá las caras pintarrajeadas como sepultan la falsedad. No te procupes por lo que digan hacé de cuenta que no es verdad, si en este mundo todo es mentira como la farsa de Carnaval.  Vamos al corso para que veas, la Colombina con su Pierrot. ¡Cómo se quieren! ¡Cómo se adoran! Pero la ingrata lo traicionó.  Dedicado a mi amigo, poeta y autor de varios éxitos: Enrique D. Cadícamo.",,
3,A cara o cruz,,Agustín Irusta,"A cara o cruz le dije un día y a cara cruz, jugué mi luz... La vida mía que era un naufragio, tuvo el presagio que la perdía... Con cara o cruz —moneda loca— se dio en la luz tu veleidad... Ganar me toca —suerte esperada— cuando ya nada quiero ganar...  Sueños que apagué, penas que encendí, cuando dije “me voy” y lloraba... Y, aunque la dejé, yo no sé por qué siento que la llevo en mí... Muero en el adiós que me da su voz, y que agita su mano lejana para decirme, que una vez fue así. De que ella gana y de que yo perdí...  Si ha de volver otra esperanza yo he de apostar por el querer... De todos modos, sin su mirada, teniendo todo, no tengo nada... Con cara o cruz —moneda loca— giró en la luz la veleidad... Ganar me toca y en la algazara, grita su cara: ¡nunca jamás!...",,
4,A Cátulo Castillo,,Eladia Blázquez,"Tu muerte fue una tarde muy cálida de Octubre; acaso presentiste que sucediera así: en plena primavera y cuando el sol se viste de luz y mariposas y el aire de jazmín. A vos que te gustaba, profundamente serio, desentrañar las cosas, llegaste a tu confín y esa doliente tarde entraste en el misterio para volver en tango, ¡mi viejo Catulín!  Me duele el sol y hasta el alcohol, me pone triste. Qué ausencia cruel de pan y miel cuando te fuiste... Desde la luz de tu bondad eterna nos sonreirás con la piedad más tierna... Me duele andar y respirar sin ti...  Recordaré tu nombre y tu mirada pura, tu oleada de ternura, mi viejo Catulín. Tu cara y el asombro donde asomaba el niño, tu río de cariño en medio del trajín... La esgrima de tu prosa, tu verso cadencioso, nostálgico y celoso de esquinas y fondín, recordaré al nombrarte tus fraternales manos y la palabra ¡Hermano!, ¡mi viejo Catulín! ",,
5,A cielo partido,2008,Marta Pizzo,"A mi ciudad le están prohibiendo todo el cielo con una fría cachetada de hormigón; monstruos de hierro se le oxidan en el pecho, bloques de olvido van clavando su aguijón.  A mi ciudad le están saqueando el arco iris y ya no queda ni un silencio por robar. Se van los pájaros, el verde se hace humo, la urbanidad le muerde un sol por madrugar.  No tengas miedo, hay brazos bien alerta no es tu destino ser trasto de ocasión. Somos tu vuelo, aquel tejido de un abuelo, un poco origen, un poco inmigración. A vos te tiembla la piel de la memoria y a mí me sobra coraje y decisión; los típicos verdugos de tu historia son sólo torres, vos reina y corazón.  A mi ciudad le están jaqueando los recuerdos. En cada ochava llora el duende de un buzón, desorientado esquiva el viento tanta reja, la plaza estéril dominguea su prisión.  Ay Buenos Aires, si te fraguan tanto muro, la identidad de tu canción va a sucumbir. Entre pilares, pavimentos, tabiques y tormentos mi voz será quien te haga resistir.  Entre pilares, pavimentos, tabiques y tormentos mi voz será quien te haga resistir.",,
6,A contramano,1928,Juan Andrés Caruso,"Mire amigo que va a contramano, no le hable a esa chica que se va a perder. Con cuidado que atrás va la vieja y de vuelta y media me lo va a poner. No le hable a esa otra que pasa, que tiene un marido que es calabrés. Y el garrote de los tallarines sobre sus espaldas lo va a hacer caer.  Salió a contramano mi amigo, al nacer. Por eso que todo le sale al revés.  Cuidao, cuidao con esa piba que se puede ""refalar"". Cuidao con esa atropellada que está dura de pelar. Cuidao, no vaya tan ligero, porque puede tropezar. Cuidao no vaya a contramano, porque lo van a cachar.  Si en la vida cayó a contramano y quiere que todo le salga muy bien, yo le doy un consejo de hermano, que todo lo que haga, lo haga al revés. Si le agrada una chica muy linda, engrupa a la vieja primero y, después, como ella es canchera y le gusta, con la misma vieja, hay nomás, préndase.  Salió a contramano mi amigo, al nacer. Por eso que todo le sale al revés.",,
7,A Don Javier,1984,Roberto Vidal,"Las notas bailan detrás del pentagrama, la mano inquieta desliza en el compás una cuarteta de voces que desgranan las ganas que se ufanan por brotar. Está la calle pidiendo a sus fantasmas que en esta noche ingresen al papel…, está la pluma de don Javier creando en tango, versos y notas, a granel.  Desde el vibrante “Fangio” a “El último escalón”; las hojas de los años… peldaños de canción. Recuerdos que se esfuman entre la niebla gris tras un arcón en brumas… ¡Hoy vuelven a vivir! En un atril a oscuras un manuscrito más… la tibia partitura que el pueblo cantará. En un atril a oscuras reposa una canción… a don Javier, un tango… ¡Con todo el corazón…!",,
8,A escuchar tangos,1999,Carlos Lagos,"Para el sábado a la noche decidimos la salida, otra vez la barra junta iría a calaverear, todos a planchar el traje y la biaba de gomina, cita en el bar de la esquina justo después de cenar.  Todos silbando bajito fuimos llegando puntuales, y al pasar el primer “tacho” rumbeamos para el trocen, si parecen otros tiempos, aquellas noches de amigos y al mejor lugar tanguero le indicamos al chofer.  El boliche estaba piola, media luz, humo y botellas, las paredes adornadas con los grandes del ayer, un par de luces marcaron el entorno de la escena y empezó a sonar la orquesta, el trio, pa´decir bien.  El sonido, un poco fuerte, te golpeaba en los oídos, el bandoneón, potenciado. sonaba como metal; en lugar del contrabajo una guitarra enchufada y al piano lo habían cambiado por un teclado oriental.  Se escuchó “La cumparsita” salieron los bailarines, ella pollera cortona colita y arito él, y después de cuatro pasos vinieron las revoleadas, la piba quedó colgada con sus piernas de un dintel.  A poco los instrumentos acompañaron las voces, que para ser más oídas fueron a un tono mayor y prolongaron las noooooootas metiendo miiiiiiil calderooooooones, y en vez de decir las letras gritaron sin emoción.  Nos miramos y salimos caminando por Corrientes, vimos una disquería y entramos a revolver, con el paquete en la mano volvimos a nuestra esquina y en la vitrola del feca escuchamos a Gardel.",,
9,A Francisco De Caro,1976,Juan Carlos La Madrid,"En las flores negras de tu despedida la loca bohemia de tu corazón, y quién sabe que memoria de un tango que se fue, con las páginas muertas, los poemas de tu fe.  En las flores negras de tu despedida, la loca bohemia de tu corazón, tal vez los secretos de los bandoneones, las líricas palomas de una tarde gris.  Acaso en las sombras cantaba tu pasión, la misma agonía, tu misteriosa flor, fugaces mascaradas que nombran tu regreso, floraciones marchitas, tu sueño todo azul. Por rumbos del olvido los besos del ayer, la magia de tu piano tu pálido sentir, aquellos tangos de la despedida como las arenas que se lleva el mar.",,
